trial,stim,target_side,matching_flipped,presented_intensity,intensity_match,intensity_difference,start_time,stop_time,duration,time_of_day
AA_20230904_a-matching-1.results_2,bullseye_low_separate,Left,False,0.5,1.0,0.5,17:54,17:54,6,Afternoon
AA_20230904_a-matching-1.results_3,bullseye_low_separate,Right,True,0.5,0.0,-0.5,17:54,17:54,5,Afternoon
AA_20230904_a-matching-1.results_4,bullseye_high_freq,Left,True,0.51,1.0,0.49,17:54,17:54,6,Afternoon
AA_20230904_a-matching-1.results_5,catch_trial_black_3,Left,False,0.5,0.0,-0.5,17:54,17:54,7,Afternoon
AA_20230904_a-matching-1.results_6,checkerboard_separate,Right,False,0.49,0.0,-0.49,17:54,17:54,7,Afternoon
AA_20230904_a-matching-1.results_7,checkerboard,Left,True,0.51,1.0,0.49,17:54,17:54,7,Afternoon
AA_20230904_a-matching-1.results_8,checkerboard_separate,Left,True,0.49,1.0,0.51,17:54,17:54,9,Afternoon
AA_20230904_a-matching-1.results_9,bullseye_high_freq,Right,True,0.51,0.0,-0.51,17:54,17:55,8,Afternoon
AA_20230904_a-matching-1.results_10,catch_trial_white_3,Right,False,0.5,1.0,0.5,17:55,17:55,3,Afternoon
AA_20230904_a-matching-1.results_11,sbc_separate,Left,False,0.49,1.0,0.51,17:55,17:55,11,Afternoon
AA_20230904_a-matching-1.results_12,strip,Left,False,0.5,1.0,0.5,17:55,17:55,7,Afternoon
AA_20230904_a-matching-1.results_13,whites,Right,False,0.51,1.0,0.49,17:55,17:55,5,Afternoon
AA_20230904_a-matching-1.results_14,sbc,Left,False,0.5,0.0,-0.5,17:55,17:55,4,Afternoon
AA_20230904_a-matching-1.results_15,catch_trial_white_3,Left,False,0.5,1.0,0.5,17:55,17:55,7,Afternoon
AA_20230904_a-matching-1.results_16,checkerboard,Right,False,0.51,0.0,-0.51,17:55,17:55,10,Afternoon
AA_20230904_a-matching-1.results_17,whites_separate,Left,True,0.49,0.0,-0.49,17:55,17:55,8,Afternoon
AA_20230904_a-matching-1.results_18,whites_separate,Right,False,0.49,1.0,0.51,17:55,17:56,12,Afternoon
AA_20230904_a-matching-1.results_19,sbc,Right,True,0.5,1.0,0.5,17:56,17:56,8,Afternoon
AA_20230904_a-matching-1.results_20,strip,Right,True,0.5,0.0,-0.5,17:56,17:56,9,Afternoon
AA_20230904_a-matching-1.results_21,whites,Left,True,0.51,0.0,-0.51,17:56,17:56,6,Afternoon
AA_20230904_a-matching-2.results_0,catch_trial_white_3,Right,False,0.5,1.0,0.5,17:56,17:56,6,Afternoon
AA_20230904_a-matching-2.results_1,sbc_separate,Left,False,0.5,1.0,0.5,17:56,17:56,4,Afternoon
AA_20230904_a-matching-2.results_2,bullseye_low_separate,Right,False,0.51,0.0,-0.51,17:56,17:56,6,Afternoon
AA_20230904_a-matching-2.results_3,bullseye_high_freq,Right,True,0.49,0.0,-0.49,17:56,17:57,7,Afternoon
AA_20230904_a-matching-2.results_4,checkerboard,Left,True,0.49,1.0,0.51,17:57,17:57,5,Afternoon
AA_20230904_a-matching-2.results_5,catch_trial_white_3,Left,False,0.5,1.0,0.5,17:57,17:57,3,Afternoon
AA_20230904_a-matching-2.results_6,whites_separate,Left,True,0.5,0.0,-0.5,17:57,17:57,12,Afternoon
AA_20230904_a-matching-2.results_7,whites_separate,Right,False,0.5,1.0,0.5,17:57,17:57,5,Afternoon
AA_20230904_a-matching-2.results_8,sbc,Right,False,0.51,1.0,0.49,17:57,17:57,5,Afternoon
AA_20230904_a-matching-2.results_9,whites,Left,True,0.49,0.0,-0.49,17:57,17:57,5,Afternoon
AA_20230904_a-matching-2.results_10,catch_trial_black_3,Right,False,0.5,0.0,-0.5,17:57,17:57,6,Afternoon
AA_20230904_a-matching-2.results_11,sbc,Left,False,0.51,0.0,-0.51,17:57,17:57,7,Afternoon
AA_20230904_a-matching-2.results_12,checkerboard,Right,True,0.49,0.0,-0.49,17:57,17:57,6,Afternoon
AA_20230904_a-matching-2.results_13,sbc_separate,Right,True,0.5,0.0,-0.5,17:57,17:57,4,Afternoon
AA_20230904_a-matching-2.results_14,checkerboard_separate,Left,True,0.5,1.0,0.5,17:57,17:58,5,Afternoon
AA_20230904_a-matching-2.results_15,catch_trial_black_3,Left,False,0.5,0.0,-0.5,17:58,17:58,4,Afternoon
AA_20230904_a-matching-2.results_16,whites,Right,True,0.49,1.0,0.51,17:58,17:58,8,Afternoon
AA_20230904_a-matching-2.results_17,bullseye_low_separate,Left,False,0.51,1.0,0.49,17:58,17:58,12,Afternoon
AA_20230904_a-matching-2.results_18,strip,Left,False,0.51,1.0,0.49,17:58,17:58,6,Afternoon
AA_20230904_a-matching-2.results_19,strip,Right,False,0.51,0.0,-0.51,17:58,17:58,5,Afternoon
AA_20230904_a-matching-2.results_20,checkerboard_separate,Right,True,0.5,0.0,-0.5,17:58,17:58,5,Afternoon
AA_20230904_a-matching-2.results_21,bullseye_high_freq,Left,True,0.49,1.0,0.51,17:58,17:58,6,Afternoon
JL_20230810_a-matching-2.results_0,catch_trial_white_3,Left,False,0.5,0.406,-0.093,12:32,12:32,20,Noon
JL_20230810_a-matching-2.results_1,checkerboard,Right,False,0.49,0.406,-0.083,12:32,12:32,9,Noon
JL_20230810_a-matching-2.results_2,bullseye_low_separate,Right,False,0.51,0.407,-0.103,12:32,12:33,19,Noon
JL_20230810_a-matching-2.results_3,whites,Right,False,0.49,0.419,-0.071,12:33,12:33,17,Noon
JL_20230810_a-matching-2.results_4,sbc,Right,False,0.51,0.38,-0.13,12:33,12:33,16,Noon
JL_20230810_a-matching-2.results_5,catch_trial_black_3,Right,False,0.5,0.554,0.055,12:33,12:34,17,Noon
JL_20230810_a-matching-2.results_6,whites_separate,Right,False,0.5,0.461,-0.038,12:34,12:34,17,Noon
JL_20230810_a-matching-2.results_7,checkerboard_separate,Right,True,0.5,0.417,-0.083,12:34,12:34,17,Noon
JL_20230810_a-matching-2.results_8,strip,Left,False,0.51,0.446,-0.064,12:34,12:34,20,Noon
JL_20230810_a-matching-2.results_9,checkerboard_separate,Left,False,0.5,0.461,-0.038,12:34,12:35,15,Noon
JL_20230810_a-matching-2.results_10,catch_trial_white_3,Right,False,0.5,0.393,-0.106,12:35,12:35,10,Noon
JL_20230810_a-matching-2.results_11,whites,Left,False,0.49,0.487,-0.003,12:35,12:35,16,Noon
JL_20230810_a-matching-2.results_12,bullseye_low_separate,Left,True,0.51,0.553,0.044,12:35,12:35,13,Noon
JL_20230810_a-matching-2.results_13,strip,Right,True,0.51,0.479,-0.031,12:35,12:36,16,Noon
JL_20230810_a-matching-2.results_14,sbc,Left,False,0.51,0.561,0.052,12:36,12:36,11,Noon
JL_20230810_a-matching-2.results_15,catch_trial_black_3,Left,False,0.5,0.596,0.096,12:36,12:36,16,Noon
JL_20230810_a-matching-2.results_16,bullseye_high_freq,Right,False,0.49,0.41,-0.08,12:36,12:36,11,Noon
JL_20230810_a-matching-2.results_17,sbc_separate,Right,False,0.5,0.389,-0.11,12:36,12:37,18,Noon
JL_20230810_a-matching-2.results_18,checkerboard,Left,False,0.49,0.437,-0.052,12:37,12:37,8,Noon
JL_20230810_a-matching-2.results_19,sbc_separate,Left,False,0.5,0.516,0.017,12:37,12:37,27,Noon
JL_20230810_a-matching-2.results_20,whites_separate,Left,False,0.5,0.481,-0.019,12:37,12:37,15,Noon
JL_20230810_a-matching-2.results_21,bullseye_high_freq,Left,True,0.49,0.488,-0.002,12:37,12:38,10,Noon
JL_20230810_a-matching-1.results_0,catch_trial_black_3,Right,False,0.5,0.563,0.063,12:25,12:25,10,Noon
JL_20230810_a-matching-1.results_1,checkerboard_separate,Left,False,0.49,0.426,-0.064,12:25,12:25,12,Noon
JL_20230810_a-matching-1.results_2,sbc_separate,Right,False,0.49,0.43,-0.06,12:25,12:25,15,Noon
JL_20230810_a-matching-1.results_3,checkerboard,Left,True,0.51,0.458,-0.051,12:26,12:26,29,Noon
JL_20230810_a-matching-1.results_4,checkerboard,Right,False,0.51,0.463,-0.046,12:26,12:27,14,Noon
JL_20230810_a-matching-1.results_5,catch_trial_white_3,Right,False,0.5,0.394,-0.105,12:27,12:27,23,Noon
JL_20230810_a-matching-1.results_6,strip,Right,True,0.5,0.429,-0.071,12:27,12:27,24,Noon
JL_20230810_a-matching-1.results_7,sbc_separate,Left,False,0.49,0.582,0.092,12:27,12:27,8,Noon
JL_20230810_a-matching-1.results_8,whites_separate,Left,True,0.49,0.471,-0.019,12:27,12:28,12,Noon
JL_20230810_a-matching-1.results_9,bullseye_high_freq,Right,True,0.51,0.424,-0.086,12:28,12:28,15,Noon
JL_20230810_a-matching-1.results_10,catch_trial_white_3,Left,False,0.5,0.37,-0.13,12:28,12:28,21,Noon
JL_20230810_a-matching-1.results_11,whites,Left,False,0.51,0.503,-0.007,12:28,12:28,14,Noon
JL_20230810_a-matching-1.results_12,bullseye_low_separate,Right,False,0.5,0.463,-0.036,12:28,12:29,15,Noon
