trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time,duration,time_of_day
JL_20230810_b-direction-0.results_24,sbc_separate,False,0.51,-2,12:41,12:41,8,Noon
JL_20230810_b-direction-0.results_25,bullseye_high_freq,True,0.5,1,12:41,12:41,6,Noon
JL_20230810_b-direction-0.results_26,bullseye_high_freq,False,0.5,-1,12:41,12:42,34,Noon
JL_20230810_b-direction-0.results_27,whites,False,0.5,-2,12:42,12:42,3,Noon
JL_20230810_b-direction-2.results_1,bullseye_high_freq,False,0.49,-1,12:45,12:45,8,Noon
JL_20230810_b-direction-2.results_3,sbc,False,0.51,-2,12:45,12:45,6,Noon
JL_20230810_b-direction-2.results_5,checkerboard_separate,False,0.5,-2,12:45,12:46,6,Noon
JL_20230810_b-direction-2.results_7,whites_separate,False,0.5,-2,12:46,12:46,9,Noon
JL_20230810_b-direction-2.results_9,strip,True,0.51,0,12:46,12:46,8,Noon
JL_20230810_b-direction-2.results_11,whites,False,0.49,-1,12:46,12:46,8,Noon
JL_20230810_b-direction-2.results_13,checkerboard,False,0.49,0,12:46,12:47,24,Noon
JL_20230810_b-direction-2.results_15,bullseye_low_separate,True,0.51,0,12:47,12:47,24,Noon
JL_20230810_b-direction-2.results_17,strip,False,0.51,1,12:47,12:47,8,Noon
JL_20230810_b-direction-2.results_19,sbc,True,0.51,-2,12:47,12:47,5,Noon
JL_20230810_b-direction-2.results_20,whites,True,0.49,-1,12:47,12:48,19,Noon
JL_20230810_b-direction-2.results_21,sbc_separate,False,0.5,0,12:48,12:48,13,Noon
JL_20230810_b-direction-2.results_22,checkerboard_separate,True,0.5,-2,12:48,12:48,7,Noon
JL_20230810_b-direction-2.results_23,bullseye_high_freq,True,0.49,0,12:48,12:48,27,Noon
JL_20230810_b-direction-2.results_24,sbc_separate,True,0.5,-2,12:48,12:49,12,Noon
JL_20230810_b-direction-2.results_25,whites_separate,True,0.5,0,12:49,12:49,12,Noon
JL_20230810_b-direction-2.results_26,bullseye_low_separate,False,0.51,-1,12:49,12:49,14,Noon
JL_20230810_b-direction-2.results_27,checkerboard,True,0.49,1,12:49,12:49,9,Noon
KN_20230904_a-direction-2.results_1,bullseye_high_freq,False,0.49,0,15:16,15:16,1,Afternoon
KN_20230904_a-direction-2.results_3,whites_separate,False,0.5,-1,15:16,15:16,1,Afternoon
KN_20230904_a-direction-2.results_5,bullseye_low_separate,True,0.51,0,15:16,15:16,3,Afternoon
KN_20230904_a-direction-2.results_7,checkerboard,False,0.49,0,15:16,15:17,3,Afternoon
KN_20230904_a-direction-2.results_9,whites_separate,True,0.5,-1,15:17,15:17,3,Afternoon
KN_20230904_a-direction-2.results_11,sbc,True,0.51,0,15:17,15:17,2,Afternoon
